"STRUCTURE","STRUCTURE_ID","ACTION","FREQ","REF_AREA","INDICATOR","SEX","AGE","URBANISATION","UNIT_MEASURE","COMP_BREAKDOWN_1","COMP_BREAKDOWN_2","COMP_BREAKDOWN_3","UNIT_TYPE","DECIMALS","DATABASE_ID","TIME_FORMAT","UNIT_MULT","OBS_STATUS","OBS_CONF","FREQ_LABEL","REF_AREA_LABEL","INDICATOR_LABEL","SEX_LABEL","AGE_LABEL","URBANISATION_LABEL","UNIT_MEASURE_LABEL","COMP_BREAKDOWN_1_LABEL","COMP_BREAKDOWN_2_LABEL","COMP_BREAKDOWN_3_LABEL","UNIT_TYPE_LABEL","DECIMALS_LABEL","DATABASE_ID_LABEL","TIME_FORMAT_LABEL","UNIT_MULT_LABEL","OBS_STATUS_LABEL","OBS_CONF_LABEL","1996","1998","2000","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","LIE","GOV_WGI_GE","_Z","_Z","_Z","U","WGI_SC","_Z","_Z","NUMBER","2","WB_WGI","602","0","A","PU","Annual","Liechtenstein","Worldwide Governance Indicators: Government Effectiveness","Not applicable","Not applicable","Not applicable","Unitless","Metric: Governance score (0-100)","Not Applicable","Not Applicable","Number (real number)","Two","Worldwide Governance Indicators (WGI)","CCYY","Units","Normal value","Public","76.14173629999999","75.964261","76.02564579999999","76.0305301","75.7806317","77.6692702","75.6467849","85.6285923","85.7152232","85.7827951","84.6480751","84.6753609","84.6593079","84.6633523","84.66786719999999","84.850464","84.8167947","84.82849809999999","84.8322994","84.8531648","84.8735032","84.8154181","80.7714353","80.84461089999999","84.2785979","84.262401"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","ZMB","GOV_WGI_GE","_Z","_Z","_Z","U","WGI_SC_UB","_Z","_Z","NUMBER","2","WB_WGI","602","0","A","PU","Annual","Zambia","Worldwide Governance Indicators: Government Effectiveness","Not applicable","Not applicable","Not applicable","Unitless","Metric: Upper bound of the 90% confidence interval for the governance score","Not Applicable","Not Applicable","Number (real number)","Two","Worldwide Governance Indicators (WGI)","CCYY","Units","Normal value","Public","34.715085","34.633381299999996","34.6616412","39.4412769","35.862694399999995","38.2787947","39.9858766","39.1500249","40.5689736","42.1509372","44.2257677","43.870334899999996","47.9233106","48.129823599999995","47.0619036","48.7143964","47.0913982","47.112705","48.383202499999996","47.6303962","45.3413295","43.1124459","43.2617468","45.752539399999996","46.4358509","46.8586397"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","XKX","GOV_WGI_GE","_Z","_Z","_Z","U","WGI_SC","_Z","_Z","NUMBER","2","WB_WGI","602","0","A","PU","Annual","Kosovo","Worldwide Governance Indicators: Government Effectiveness","Not applicable","Not applicable","Not applicable","Unitless","Metric: Governance score (0-100)","Not Applicable","Not Applicable","Number (real number)","Two","Worldwide Governance Indicators (WGI)","CCYY","Units","Normal value","Public","","","","","","","","42.2575487","42.5879785","44.1529848","44.393013499999995","37.495175499999995","39.2356777","41.6120598","40.6814728","45.6998655","44.7340616","44.5699599","44.6529198","44.983977499999995","44.9902521","44.1150398","48.2693811","50.878249399999994","51.5204679","50.148657299999996"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","ECU","GOV_WGI_GE","_Z","_Z","_Z","U","WGI_SC_UB","_Z","_Z","NUMBER","2","WB_WGI","602","0","A","PU","Annual","Ecuador","Worldwide Governance Indicators: Government Effectiveness","Not applicable","Not applicable","Not applicable","Unitless","Metric: Upper bound of the 90% confidence interval for the governance score","Not Applicable","Not Applicable","Number (real number)","Two","Worldwide Governance Indicators (WGI)","CCYY","Units","Normal value","Public","44.739855899999995","50.4424662","39.271536399999995","38.4599391","39.242179799999995","41.346271699999996","41.0542225","41.4283643","42.711552999999995","44.2011885","49.6734377","49.5652492","53.119968","53.2957342","55.3588594","56.8815051","55.205249699999996","55.9949764","56.2011821","54.831516199999996","55.1764084","52.2945869","56.820388599999994","58.6765031","55.7897895","54.6357674"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","UGA","GOV_WGI_GE","_Z","_Z","_Z","U","WGI_SC_UB","_Z","_Z","NUMBER","2","WB_WGI","602","0","A","PU","Annual","Uganda","Worldwide Governance Indicators: Government Effectiveness","Not applicable","Not applicable","Not applicable","Unitless","Metric: Upper bound of the 90% confidence interval for the governance score","Not Applicable","Not Applicable","Number (real number)","Two","Worldwide Governance Indicators (WGI)","CCYY","Units","Normal value","Public","45.1739028","50.352101999999995","50.380362","50.896466499999995","46.7050164","47.5449805","46.0429728","47.884858099999995","49.1046145","47.457204399999995","48.4229286","49.144504","48.5748058","47.893946199999995","48.1140895","51.4147391","51.462377","50.0310813","50.3032567","47.7396793","47.339237499999996","46.1808911","46.3323445","47.2102478","48.8317566","50.415326199999996"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","VEN","GOV_WGI_GE","_Z","_Z","_Z","U","WGI_SE","_Z","_Z","NUMBER","2","WB_WGI","602","0","A","PU","Annual","Venezuela, RB","Worldwide Governance Indicators: Government Effectiveness","Not applicable","Not applicable","Not applicable","Unitless","Metric: Standard error of the governance estimate","Not Applicable","Not Applicable","Number (real number)","Two","Worldwide Governance Indicators (WGI)","CCYY","Units","Normal value","Public","0.25192929999999997","0.25192929999999997","0.25192929999999997","0.2374528","0.2374528","0.2280181","0.2280181","0.2254801","0.2254801","0.2254801","0.2254801","0.2254801","0.2254801","0.2254801","0.2254801","0.2254801","0.2254801","0.2254801","0.2254801","0.2254801","0.2254801","0.2254801","0.2254801","0.216799","0.2248599","0.2248599"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","BRB","GOV_WGI_GE","_Z","_Z","_Z","U","WGI_SR","_Z","_Z","NUMBER","2","WB_WGI","602","0","A","PU","Annual","Barbados","Worldwide Governance Indicators: Government Effectiveness","Not applicable","Not applicable","Not applicable","Unitless","Metric: Number of sources","Not Applicable","Not Applicable","Number (real number)","Two","Worldwide Governance Indicators (WGI)","CCYY","Units","Normal value","Public","1.0","1.0","1.0","1.0","1.0","2.0","2.0","3.0","3.0","3.0","4.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","4.0","5.0","5.0"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","UGA","GOV_WGI_GE","_Z","_Z","_Z","U","WGI_SC","_Z","_Z","NUMBER","2","WB_WGI","602","0","A","PU","Annual","Uganda","Worldwide Governance Indicators: Government Effectiveness","Not applicable","Not applicable","Not applicable","Unitless","Metric: Governance score (0-100)","Not Applicable","Not Applicable","Number (real number)","Two","Worldwide Governance Indicators (WGI)","CCYY","Units","Normal value","Public","35.568072799999996","40.746272","40.7745319","42.1162413","38.6330473","40.6937615","39.4660544","41.368013999999995","42.5877704","40.940360299999995","41.9060844","42.627659799999996","42.0579617","41.377102099999995","42.063419599999996","45.364069199999996","45.4117071","43.9804114","44.252586799999996","41.6890095","41.2885677","40.130221299999995","40.281674599999995","41.3273449","42.9488536","44.5324232"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","MWI","GOV_WGI_GE","_Z","_Z","_Z","U","WGI_SC","_Z","_Z","NUMBER","2","WB_WGI","602","0","A","PU","Annual","Malawi","Worldwide Governance Indicators: Government Effectiveness","Not applicable","Not applicable","Not applicable","Unitless","Metric: Governance score (0-100)","Not Applicable","Not Applicable","Number (real number)","Two","Worldwide Governance Indicators (WGI)","CCYY","Units","Normal value","Public","34.352593999999996","39.5307932","39.5590532","31.8862834","29.3079169","32.3202156","33.0169474","34.586144","35.699059399999996","38.600645799999995","40.609423","40.7885433","39.9852505","40.1363072","40.2491487","40.7874505","39.9559445","39.499992","40.0975086","39.0186183","38.0011614","36.788255","38.1231395","36.1458285","36.3969461","37.2287788"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","SLB","GOV_WGI_GE","_Z","_Z","_Z","U","WGI_SR","_Z","_Z","NUMBER","2","WB_WGI","602","0","A","PU","Annual","Solomon Islands","Worldwide Governance Indicators: Government Effectiveness","Not applicable","Not applicable","Not applicable","Unitless","Metric: Number of sources","Not Applicable","Not Applicable","Number (real number)","Two","Worldwide Governance Indicators (WGI)","CCYY","Units","Normal value","Public","","","","","","1.0","3.0","3.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","3.0","3.0","4.0","5.0","5.0","5.0"
