"Data Source","World Development Indicators",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bulgaria","BGR","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","75.1","","","","","","","","","","","","","","","","","","","85.9","","","63.4","","","","","","","64.4","","70.1","","","","","","","","","","","","","","","","","",
"Bahrain","BHR","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.8","","","","","","61.8","","","","","53.4","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.45555943","","","","","","35.7088405","","","","","","46.01743031","","","","","","","","","","","","",
"Belarus","BLR","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.4","","","","","","","","","","72.60969384","","","","","","","63.05790059","","","","","71.15","","52.6","","","","","",
"Belize","BLZ","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.871788148925","","","","","","","","56.1","","","","","","","","","","","","55.15686025","","","","","51.3596636","","","","","","","","",
"Bermuda","BMU","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.3","","","","","45.3","","","","48.3","","53.43939386","","","58.4","","","","","60.6","","","","","","","","66.5","","","","","","","","",
"Brazil","BRA","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","66.2","","","","","","","","","","76.7","","","","","","","","","","","80.6","","","","","","80.2004995714604","","","","","","","","","","","",
"Barbados","BRB","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","46.5433490884538","","","","","","","55","","","","","","","","","","","","","","","","","","","","","","","","59.20685012","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.7","","","","","","","","","","65.60409679","","","","","","","","","","","","","","",
"Botswana","BWA","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","19.3","","","","33","","","","","","","","47.2055441661467","","","","44.4","","","","","","","69.7","","","","","","","","","","67.4","","","","","","","",
"Central African Republic","CAF","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.8","","","","","27.94274232","","","","","","19.01581185","","","","15.18044076","","","","","","","","","17.8","","","","","",
"Canada","CAN","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","73.1","","","","","","","","","","","74.714407","","","80","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","71.2","","","","","","","","","","","","","","","82.0075056097449","","","","","","","","","","","","","","","","","72.9594","","","","","71.6","","","","","","","",
"Channel Islands","CHI","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.2","","","","","","","","","","76.2635245751857","","","","","","","","",
"China","CHN","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.8","","","","86.9","","","","","84.6","","","","","","","","","","","84.5","","","","","","","",
"Cote d'Ivoire","CIV","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","2.9","","","","","","","","","","","","","11.4","","","","","15","","","","","","","14.60509609","","","","","","18.2","","","","15.49988895","22.2671897514271","21.4880612405033","","25.5373304407527","21","31.9711571456027","","",
"Cameroon","CMR","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","2.2","","","","","","","","","","","","","16.1","","","","","","","19.3","","25.2052697293789","","","","26","","29.20094465","","","","","23.4","","","34.34239566","","","","19.3","","","","","","",
"Congo, Dem. Rep.","COD","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","15.4","","","","","","","7.7","","","","","","","","","","31.38955226","","","","","","20.6","","","17.72319667","","","","20.4","","","","28.1286863587728","","","","","","",
"Congo, Rep.","COG","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.3","","","","","","","44.7","","","30.11949285","","","","","","","","","",
"Colombia","COL","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","20.5","","","","","","","42.5","","","","48.5","","","","","","64.8","","","","66.1","","","","","72.2","","","","","76.9","","","","","78.2","","","","","79.1","","","","","81","","","","","","","","","",
"Comoros","COM","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","","","25.83913184","","","","","","","","","","","","19.4","","","","","","","","","","11.6","","",
"Cabo Verde","CPV","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.8","","","","","","","","","52.9","","","","","","","61.3","","","","","","","","","","","","","55.8","","","","","","",
"Costa Rica","CRI","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","64.4","","63.5","","","65.2","","","","","69","","","","","","","75","","","","","","80","","","","","","","","","","","82.1","76.2477885","","","","77.8","","","70.9","","","","","","",
"Caribbean small states","CSS","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.0206067483948","","","","","","","","","","45.5154391030108","","","","","","","","","","","","","","",
"Cuba","CUB","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","","","","","","","","73.3","","","","","","","","","","","74.31548663","","","73.71987482","","","","","69.0951384694291","","","62.1","","",
"Curacao","CUW","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Czechia","CZE","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","66","","","","","","","","","","","","","","","","","","","","","","","68.9","","","","72.3","","","","","","","","78.2","","","86.3","","","","","","","","","","","","","","","","",
"Germany","DEU","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","70.0833333333333","","82.1768283174801","","","","","","","","","","","","","77.9","","","","","","","69.955512696882","","","","","","","","","","","","","68.4","","","50.4","","","80.3","","","","","","","","","","","","","",
"Djibouti","DJI","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","","","17.83382615","","","","","","19","","","","","","","","","","","","",
"Dominica","DMA","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","62.3","","","","","","49.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","67","","","","","63","","","","","","","","","","","","","","","","","","76.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","31.8","","","","","42","","","39.3","","","49.8","","","","","56.4","","","","","63.7","","","69.2","64.68122506","","69.8","","","","61.3","72.9","","","73","","","71.9","69.50153139","","","","","62.7779892966591","","","","","",
"Algeria","DZA","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.8","","","","","50.7","","","56.9","","","","","64","","57","","","","61.4","","","","","","","57.12173594","","","","","","53.6","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.4164750039278","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.7440840717121","","","","","","","","","","48.0155030574695","","","","","","","","","","55.689655600042","","","","","","","","","","","60.4597569163231","","","",
"East Asia & Pacific","EAS","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.3460999846772","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.7426726847591","","","","","","","","","","62.7176811773269","","","","","","","","","","","61.6340665772539","","","",
"Europe & Central Asia","ECS","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.0479397208787","","","","","","","","","","","","","","",
"Ecuador","ECU","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","35","","","39.2","","","","","44.3","","52.9","","","","","56.8","","","","","66.3","","","","","72.7","","","","","","","","80.1","","74.7006683049229","","","","77.8500417459495","","","","","","",
"Egypt, Arab Rep.","EGY","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","24.9","","","","","31.4","","","","30.3","","","","37.8","","","47.6","47.1","","","47.9","","54.5","51.8","","56.1","","","60","","59.2","","","60.3","","","","","","58.5","","","","","","","","","","",
"Euro area","EMU","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.2272486208853","","","","","","","","","","","","","","",
"Eritrea","ERI","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","","8","","","","","","","","8.7","","","","","","","","","","","","","","",
"Spain","ESP","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","47.1","","","","","","","","62.141894","","","","","","","","","","81.1","","","","71.9187","","","","","","","65.7","","","70.0949735821081","","","","","","","","","62.0757","","","","","","",
"Estonia","EST","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.1422511118714","","","","","","","","","","","63.4","66.716939234148","","","","64.1190491491065","","","","75.0978731759999","","","","","","","","","","",
"Ethiopia","ETH","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.8","","","","","","","3.3","","","8.1","","","","","14.7","","","","","","28.6","","","42","36.9015173518834","35.9","36.2869662786329","40.0000610107691","41.4","37.7","36.0705648652283","","","",
"European Union","EUU","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.6131537530444","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.5647424245271","","","","","","","","","","29.1097483551933","","","","","","","","","","","","","","",
"Finland","FIN","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.4222182596291","","78.8461538461538","","","","","","","79.4701986754967","","","","","","","","74.2222222222222","","","","","","","","85.4748603351955","","","","","","","","","",
